Tenure,TotalCashback,Complain,WarehouseToHome,DaySinceLastOrder,NumberOfAddress,SatisfactionScore,PreferedOrderCat_Mobile,CouponUsed,CityTier
16.0,437.79,0,12.0,1.0,6,3,1,3.0,1
30.0,247.44,0,14.0,2.0,2,3,1,2.0,1
3.0,375.88,1,8.0,3.0,10,3,0,2.0,1
6.0,622.72,0,9.0,7.0,2,1,1,2.0,1
7.0,613.72,0,7.0,9.0,1,5,0,0.0,1
2.0,383.46,1,36.0,1.0,9,5,0,2.0,1
21.0,1150.73,0,22.0,7.0,9,3,0,1.0,3
14.0,459.5,1,12.0,3.0,7,5,0,1.0,3
9.0,118.59,1,16.0,0.0,2,4,1,1.0,1
1.0,335.2,1,17.0,4.0,3,3,0,1.0,3
1.0,299.56,1,12.0,3.0,3,4,1,1.0,1
25.0,934.6200000000001,1,12.0,9.0,4,5,0,2.0,1
18.0,630.98,1,14.0,11.0,2,1,0,1.0,1
9.0,120.00999999999999,0,8.0,2.0,3,3,1,0.0,1
8.0,168.83,0,33.0,7.0,3,3,0,0.0,1
1.0,1161.76,1,32.0,9.0,3,4,1,7.0,1
6.0,155.05,0,8.0,4.0,2,1,0,1.0,3
3.0,199.57,0,26.0,2.0,1,5,0,1.0,1
4.0,377.6,1,29.0,1.0,4,3,0,2.0,3
14.0,817.8,1,23.0,4.0,8,1,0,4.0,1
18.0,193.8,1,35.0,2.0,5,1,0,1.0,1
22.0,881.5500000000001,0,7.0,2.0,4,1,0,1.0,1
9.0,122.77000000000001,1,9.0,3.0,4,4,1,0.0,2
9.0,119.03999999999999,0,14.0,0.0,2,3,1,0.0,1
1.0,518.25,0,7.0,3.0,8,2,0,3.0,1
13.0,146.39,0,20.0,2.0,2,5,0,0.0,3
0.0,141.71,1,9.0,2.0,1,3,0,1.0,1
1.0,376.98,1,7.0,5.0,2,4,0,1.0,3
15.0,145.56,0,35.0,2.0,3,3,0,1.0,1
16.0,437.79,0,12.0,1.0,6,3,1,1.0,1
13.0,246.83999999999997,1,14.0,3.0,1,1,1,0.0,1
10.0,337.48,0,7.0,3.0,2,3,0,2.0,1
4.0,294.12,0,16.0,9.0,3,3,1,1.0,1
10.0,391.88,0,17.0,8.0,5,3,0,1.0,1
0.0,144.87,1,10.0,3.0,2,2,0,0.0,3
2.0,166.23,1,13.0,0.0,2,2,0,0.0,1
4.0,381.56,0,17.0,5.0,3,3,0,2.0,3
9.0,149.41,0,12.0,1.0,7,4,0,0.0,1
0.0,166.96,0,32.0,1.0,6,5,0,0.0,3
3.0,427.06,0,9.0,3.0,3,1,0,1.0,1
5.0,494.34000000000003,0,11.0,3.0,10,3,1,3.0,1
1.0,1034.53,1,8.0,5.0,2,4,0,6.0,3
9.0,120.86000000000001,0,11.0,0.0,4,1,0,0.0,3
1.0,297.6,1,12.0,3.0,3,5,1,2.0,3
3.0,877.6200000000001,0,12.0,7.0,1,1,0,5.0,1
5.0,1021.1,0,7.0,7.0,2,1,0,0.0,3
1.0,281.1,0,29.0,1.0,3,3,1,1.0,2
19.0,603.0,0,18.0,2.0,5,2,0,2.0,3
6.0,146.82,0,16.0,1.0,4,1,0,1.0,3
9.0,301.44,0,15.0,3.0,3,2,1,1.0,3
2.0,162.94,1,6.0,2.0,9,3,0,0.0,1
9.0,1205.1899999999998,0,7.0,10.0,11,3,0,4.0,3
11.0,333.78,0,16.0,4.0,3,4,0,2.0,3
22.0,251.74,1,14.0,2.0,5,5,1,1.0,1
19.0,193.96,0,6.0,3.0,8,5,0,0.0,1
6.0,331.56,1,9.0,3.0,2,4,0,1.0,3
13.0,1138.32,1,7.0,9.0,3,1,0,4.0,1
3.0,354.76,1,10.0,1.0,6,3,0,2.0,3
6.0,143.2,0,31.0,2.0,2,4,0,0.0,1
10.0,348.82,0,13.0,2.0,8,4,0,1.0,1
19.0,295.4,0,7.0,3.0,5,1,1,2.0,1
1.0,319.58,0,36.0,5.0,2,4,1,1.0,1
12.0,291.97,1,6.0,6.0,2,3,0,0.0,1
0.0,129.09,0,7.0,2.0,4,3,1,1.0,3
23.0,3909.36,0,8.0,7.0,2,5,0,1.0,1
11.0,328.99,0,6.0,11.0,2,5,0,3.0,1
17.0,1072.74,1,8.0,7.0,2,1,0,6.0,1
1.0,451.16999999999996,0,13.0,3.0,3,3,1,3.0,1
3.0,663.08,0,18.0,4.0,1,3,0,3.0,3
9.0,241.92000000000002,0,6.0,1.0,2,4,1,1.0,1
10.0,195.25,0,7.0,3.0,2,1,0,1.0,3
15.0,123.72,1,14.0,0.0,7,4,0,0.0,1
20.0,607.22,0,9.0,2.0,8,3,0,2.0,1
10.0,1708.64,0,19.0,3.0,2,1,0,6.0,1
0.0,198.24,0,26.0,0.0,4,3,0,1.0,1
19.0,287.89,0,10.0,8.0,3,4,0,1.0,3
15.0,328.99,0,32.0,8.0,6,4,0,2.0,3
7.0,246.83999999999997,1,14.0,3.0,2,4,1,1.0,1
16.0,380.9,1,24.0,3.0,5,5,0,1.0,1
14.0,162.3,0,16.0,10.0,8,1,0,0.0,3
11.0,328.4,0,7.0,3.0,4,5,1,1.0,1
0.0,168.11,0,13.0,7.0,9,5,0,1.0,1
1.0,176.55,0,9.0,7.0,1,4,0,0.0,1
14.0,338.44,1,33.0,1.0,5,1,0,1.0,1
9.0,122.25999999999999,0,8.0,2.0,2,4,1,1.0,1
7.0,357.36,1,23.0,3.0,3,1,0,1.0,3
8.0,187.89,0,6.0,8.0,2,3,0,1.0,3
31.0,527.44,0,17.0,9.0,2,3,0,1.0,3
1.0,281.1,0,29.0,1.0,3,3,1,1.0,2
9.0,122.88999999999999,0,15.0,4.0,2,5,1,0.0,1
12.0,363.32,1,17.0,4.0,3,2,0,1.0,3
7.0,125.53,0,14.0,3.0,2,1,1,1.0,1
9.0,121.87,0,8.0,2.0,5,4,1,0.0,2
12.0,517.05,0,7.0,10.0,9,1,0,3.0,1
4.0,1424.32,0,34.0,8.0,9,2,0,5.0,3
30.0,219.04000000000002,1,6.0,3.0,4,1,0,1.0,3
10.0,1728.1,0,13.0,12.0,2,1,1,2.0,1
1.0,304.32,0,19.0,1.0,3,4,1,1.0,3
7.0,185.0,0,15.0,6.0,1,2,0,1.0,1
19.0,611.22,0,32.0,1.0,5,4,0,1.0,1
7.0,197.25,0,6.0,9.0,1,2,0,1.0,3
14.0,459.5,1,12.0,3.0,7,5,0,1.0,3
14.0,328.99,0,35.0,2.0,5,5,0,1.0,3
9.0,351.96,0,16.0,9.0,3,3,0,1.0,1
7.0,179.78,0,21.0,5.0,2,2,0,0.0,1
4.0,531.27,1,11.0,8.0,3,4,0,3.0,3
11.0,1092.3500000000001,1,13.0,7.0,2,5,0,4.0,3
29.0,2047.92,0,9.0,3.0,9,5,0,4.0,1
9.0,245.86,1,6.0,0.0,3,1,1,0.0,1
6.0,140.37,0,6.0,8.0,2,5,0,0.0,3
9.0,120.33000000000001,0,19.0,0.0,2,4,1,0.0,3
9.0,246.04000000000002,1,7.0,2.0,2,4,1,2.0,3
3.0,443.90999999999997,0,17.0,3.0,3,4,1,1.0,3
15.0,162.72,0,8.0,3.0,8,5,0,1.0,2
9.0,120.63999999999999,0,6.0,3.0,1,3,1,0.0,2
14.0,328.99,0,35.0,2.0,5,5,0,2.0,3
1.0,278.32,0,17.0,1.0,3,5,1,2.0,1
1.0,512.3100000000001,0,10.0,1.0,11,3,0,2.0,3
0.0,128.53,1,9.0,0.0,1,2,1,0.0,1
4.0,429.18,0,13.0,12.0,2,5,0,3.0,1
26.0,1051.5,0,8.0,12.0,3,4,0,5.0,3
